start	end	text
0	5780	Buenas noches, me alegra mucho poder estar en vuestros aguares y seguir cumpliendo con
5780	12080	esta tradición de transmitiros mis mejores deseos, sobre todo de paz, en esta Nochebuena.
12080	16360	Y también de compartir con vosotros algunas reflexiones sobre los acontecimientos más
16360	20200	relevantes del año que ahora termina.
20200	25520	El 2022 ha sido, está siendo todavía, complicado y difícil.
26360	31460	Como no han sido nada fáciles los últimos años, cuando creíamos haber superado lo
31460	40000	peor de la pandemia, sin duda la mejor noticia, en el mes de febrero Rusia invadió Ucrania.
40000	45760	Y desde entonces hemos sido testigos de diez meses de una guerra que ya ha causado un nivel
45760	51920	de destrucción y ruina difíciles de imaginar en nuestra realidad cotidiana.
52860	57840	Tenemos vivido el sufrimiento del pueblo ucraniano y seguimos sintiendo, con una profunda tristeza,
57840	62160	la pérdida de miles de vidas humanas.
62160	69360	A los ucranianos refugiados en nuestro país y a todos sus compatriotas les enviamos, especialmente
69360	74080	hoy, nuestro recuerdo y afecto.
74080	78960	Estamos así ante una nueva guerra en Europa, en las fronteras de algunos de nuestros socios
79080	83200	europeos y aliados y por tanto cerca de nosotros.
83200	89260	Y que no solo afecta a Ucrania, sino que tiene una trascendencia global.
89260	92440	Por ello nuestra seguridad también se ha visto afectada.
92440	98040	España, además de reforzar con nuestros aliados la capacidad de defensa colectiva,
98040	104040	se ha unido a la inmensa mayoría de la comunidad internacional para apoyar a Ucrania y para
104040	110800	reafirmar su compromiso de que la soberanía, la integridad territorial y la independencia
110800	117580	de los estados son principios irrenunciables de un orden internacional basado en reglas
117580	122160	y que siempre debe buscar la paz.
122160	127640	En este sentido la cumbre de la OTAN que se celebró en España, en Madrid, sirvió para
127640	134020	reforzar la unidad de todos los miembros de la alianza y también de la Unión Europea.
134140	139100	Esta guerra, junto a los efectos también de la pandemia, está teniendo además, como
139100	143140	es evidente, un profundo impacto sobre la economía.
143140	151300	Ha provocado una crisis energética con consecuencias graves en la industria, el comercio, el transporte
151300	155340	y particularmente en las economías familiares.
155340	160980	La subida de los precios, especialmente de los alimentos, provoca inseguridad en los
161840	168640	Tener que hacer frente a gestos cotidianos, como encender la calefacción o la luz, o
168660	175100	llenar el depósito de gasolina, acaba siendo una fuente de preocupación e implica, en
175100	179740	muchos casos, importantes sacrificios personales y familiares.
179740	186220	Porque en efecto, hay familias que no pueden afrontar esta situación de una manera prolongada
187080	192660	y necesitan el apoyo continuo de los poderes públicos para paliar sus efectos económicos
192680	195200	y sociales.
195200	200420	Todo el nuevo escenario que vivimos, la guerra, la situación económica y social, la inestabilidad
200420	207760	y las tensiones en las relaciones internacionales, está causando en nuestra sociedad, lógicamente,
207760	210860	una gran preocupación e incertidumbre.
210860	217500	No podemos ignorar la seriedad de estos problemas, pero tampoco podemos renunciar a que las cosas
217500	220660	puedan cambiar y mejorar.
220660	227140	Lo primero y, una vez más, debemos tener confianza en nosotros mismos, como nación.
227140	232160	La transformación y la modernización de España de las últimas cuatro décadas, gracias
232160	237460	al éxito de nuestra transición a la democracia y a la aprobación de nuestra Constitución,
237580	239740	avala esa confianza.
239740	244820	Como también la justifica la superación de otras crisis económicas, sociales o institucionales
244820	249240	que hemos vivido, la más reciente la del COVID.
249240	255980	Somos un país que, como ahora, siempre ha sabido responder, no sin dificultades ni sacrificios,
255980	262860	a todas las adversidades, que no han sido pocas a lo largo de estos años.
