client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
00828f714d29b38abcdd59823f99d95e18d28073b6fc7f04289fd6b0978c009fcf61eb7a991fcace8eaaf63c8aa7babcaca3104a092d08de45f7bacc6e6ebea4	common_voice_ca_35245879.mp3	L'os zigomàtic és curt, però l'arc zigomàtic és complet.	2	0				ca	
00d66127a81f573dd8bed5fb69e6a239df64fd0bc20a04f5c9e3bcdb73f331ec3902fa40ac12b9fe937e9df1ba3d93b6989f2f41065843863f55fa9c81c67547	common_voice_ca_35284511.mp3	Ensenya francès en un institut i a la Universitat de Saint-Denis.	2	0				ca	
017ec490bc2da35d8e1b12b77b1d8fe3956ef5ec00730f8f0926bd7c87f19558ca442fe8208bae089dbe306ae33c52d2662c336ec0a438f55591b5eac896c1c3	common_voice_ca_35131866.mp3	El deu d'agost en Garbí i na Maria iran a la Sénia.	4	0	fifties	male	central	ca	
021cf6f8abc878c0418d3ba1b910b15cb8e12da51229d681422d1c6a6b00e9def7417453592fd241b26cf60fd49a7e3f6502251b1dfae119e14a312e80ff5e1a	common_voice_ca_35309194.mp3	I espero que parlem de Romania.	2	0				ca	
047f9f75f0c6f6ca87c477d4c02a33db0e54081171683b99a8eda5db723597eb17dcb28e36074f73e33b97626b8b9eafc46b9ebdc65503f6119d452302d2014e	common_voice_ca_35113514.mp3	Fidela Oller Angelats va ser una religiosa nascuda a Banyoles.	2	0				ca	
0671f86eacd14803ee0bc1d637553be408d023305d0a64830c701c5e94bfc1a1dcc2f5615fee9fabd04db2ead0cb14d3b57b5d270d3233cb657a86cc8fbd187a	common_voice_ca_35803502.mp3	La família Luks es va traslladar finalment a Pottsville, al sud de Pennsilvània, a prop dels camps de carbó.	2	0	twenties	female	central	ca	
0a81da16a76880efd6b78be372712784e724c2da0de505b2eae9d690e2ac5cb0c693434cd87420fda955e8f14bc1ed6b9c742fe690e284de002ae0df21524abe	common_voice_ca_36499006.mp3	Diumenge en Gerard i na Sol volen anar a visitar mon oncle.	2	0	fifties	male	central	ca	
0c3d1c0add87cb26addeb84df03ee32c58ef68dc4f75cafe5fd04796d5d7613f982670451432be119033500c199a984a1959ccce2d656fb907437e356d11967f	common_voice_ca_34988398.mp3	Per Sant Jordi na Frida anirà a Fornalutx.	2	0				ca	
1335c70e3fcab6ff1c0b67f2da4627cc0708140051e07ba1fa6aa7fc11923f679a5f15b159644716ccc525be22201931367b8e5aad9a1a00bc898dc65437aa35	common_voice_ca_36392950.mp3	La Mar truca al Morell i li diu que són a punt d'arribar.	2	0				ca	
152c9593c9b7cc9af0e31ae876ccc66bdb7da1be767eb91d9180995620b039eae06d8171177399c762bd497664df20d90f55261d5a53ee4d6d8929a96e1a1625	common_voice_ca_34987025.mp3	Què passa amb aquesta gent?	2	0				ca	
16a54fa8f7e3ed7ff7f3af2fe21aca60f0e29df015659ee2e2a47fd9ca341e40b192669d6b10e41c0967a60299688171d202bfe00c5e10cf16d140a3dc09b17e	common_voice_ca_35263325.mp3	Veurem si la direcció és la mateixa o no.	2	0	fourties	male		ca	
18d5d96e4ff0722a6f12a4db41fcc8aa6616be5909aa25ef2ea2940adcfbeeb243e4eb8157b1a5c636561815e09a5cd308654127c0de67ddf997fd83142a1e1a	common_voice_ca_35127210.mp3	A més, Sydenham és conegut per la quantitat de cafeteries independents.	2	0	twenties	male	central	ca	
1d3505b8416e8daa88e2a0dd712ca1780cb48a5bfb02f1dede97966c9eb3e6d1a7f3643258d63575ca99181d37338edeceab91bd307a54bfb3c18520e4957e93	common_voice_ca_35031810.mp3	El deu d'agost en Quel i na Gina iran a Alcàntera de Xúquer.	2	0	thirties	female	central	ca	
