sentence	sentence_id	locale	reason
Un fill és un fill fins que es casa; una filla és una filla fins que es mor.	e35fbac6123f4463ccb047daced6a0456da308251c2637da348951c6b6afc374	ca	offensive-language
George!	f6d2e8e3dc62412b4c92588c3674d232205dd9748dfcaffc7498daee9fc69b90	ca	different-language
La quantitat màxima d'emmagatzemament estimada és de trenta mil quilos.	4d4053171709af4f1d888e31b6b81e24e4631be7ddea7f9a4e7de36088a11ca8	ca	grammar-or-spelling
Amb aquesta «moral» de comportament, l'interés dels governants per una administració eficient és irrellevant.	4bc13af76d7e42d755d32bcd28d315983db878797dcfae1b8b4e4a585d0f4979	ca	grammar-or-spelling
Kauai, Oahu i Maui.	010680fbbd132258846891d27f3ecb3c781e6258685ae11cb25890a0d0b39b0e	ca	different-language
Els altres set lluitador van ser deixats sense feina.	01ce96efc63143383e0d7444f500404a3092cd18b2a34dfc94748b9445b452b7	ca	grammar-or-spelling
Aquests mòduls s'insereix en sòcols sobre la placa base.	0198392710712f46b433b36d41f7958cec84dc1fff8789a7fcf43e168fc1cfc9	ca	grammar-or-spelling
Històricament, havien existit diversos altres formes estandarditzades alternatives de gramàtiques del bielorús.	01f44c6a93c8234618d09ff78ef99d7bcca1259cece43b8cc35fd5b8d2fa0f38	ca	grammar-or-spelling
Destaquen pel seu nombre els residents d'origen anglés i alemany.	039b090e98d9d8acb003394af4a6ff691349427abeb6c201ea4c82d88e918b33	ca	grammar-or-spelling
Destaquen pel seu nombre els residents d'origen anglés i alemany.	039b090e98d9d8acb003394af4a6ff691349427abeb6c201ea4c82d88e918b33	ca	grammar-or-spelling
Les protestes van esdevenir violentes quan les multituds agressives van començar destruir propietats.	082b459cd89b62ef3a280ea20b72260adfa787149a180d874d16a79eae5490e2	ca	grammar-or-spelling
La fertilització és majoritàriament interna i les larves són planctòniques.	09ab64ea3caa1a23df1436b76dff52118f8bba7a753eb8235a428327dcc88bbf	ca	different-language
El banc presenta una estructura molt lineal.	08be4db6ca173f7640abbf249e8766b79b7420dd3c98c435dab42ead9bc295f0	ca	different-language
A la cantonada del carrer Dostoievski No.	09b217c8f58ea13d477e4a74006214f981755ddcbe7a78fa7ff295f8c7c21251	ca	grammar-or-spelling
La literatura tàmil existeix des de fa més de dos mils anys.	0a044e6e0ad0b0d1971144494c5ad18bf0ccd44d09a2255bf0572113b838de86	ca	grammar-or-spelling
Actualment és un equipament públic que allotja l'escola de música.	0a4970ede99c23cff4ffc8fbb65f3aff8bd4320086f56200509c8d4ada265c03	ca	Se m'h ratllat el mòbil i no es pot llegir. 
